# name: Data_Set_1
# attribute -- name: game, description: game number, type: numeric, precision: 0, editable: false
# attribute -- name: turns, description: number of turns in the game, type: numeric, precision: 0, editable: false
# attribute -- name: winner, description: who won? You or Markov?, type: nominal, editable: false
# attribute -- name: level, description: what level of the game was played, type: nominal, editable: false
# attribute -- name: turn, description: the turn number in the game, type: numeric, precision: 0, editable: false
# attribute -- name: markovs_move, description: the move markov made this turn, type: nominal, editable: false
# attribute -- name: your_move, description: the move you made this turn, type: nominal, editable: false
# attribute -- name: result, description: did you win or lose this turn?, type: nominal, editable: false
# attribute -- name: up_down, description: the number of steps up or down Madeline moved, type: numeric, precision: 0, editable: false
# attribute -- name: previous_2_markov_moves, description: the two moves Markov made prior to this one, type: nominal, editable: false
game,turns,winner,level,turn,markovs_move,your_move,result,up_down,previous_2_markov_moves
1,6,,Tethys,1,S,P,lose,-1,
1,6,,Tethys,2,S,S,lose,-1,
1,6,,Tethys,3,R,R,lose,-1,SS
1,6,,Tethys,4,R,P,win,1,SR
1,6,,Tethys,5,P,S,win,1,RR
1,6,,Tethys,6,P,P,lose,-1,RP
2,6,,Tethys,1,S,P,lose,-1,
2,6,,Tethys,2,S,S,lose,-1,
2,6,,Tethys,3,R,R,lose,-1,SS
2,6,,Tethys,4,R,P,win,1,SR
2,6,,Tethys,5,P,S,win,1,RR
2,6,,Tethys,6,P,P,lose,-1,RP
3,6,,Tethys,1,S,S,lose,-1,
3,6,,Tethys,2,S,P,lose,-1,
3,6,,Tethys,3,R,R,lose,-1,SS
3,6,,Tethys,4,S,P,lose,-1,SR
3,6,,Tethys,5,S,S,lose,-1,RS
3,6,,Tethys,6,R,P,win,1,SS
4,6,,Tethys,1,S,P,lose,-1,
4,6,,Tethys,2,S,S,lose,-1,
4,6,,Tethys,3,R,R,lose,-1,SS
4,6,,Tethys,4,R,P,win,1,SR
4,6,,Tethys,5,P,S,win,1,RR
4,6,,Tethys,6,P,P,lose,-1,RP
5,6,,Tethys,1,S,S,lose,-1,
5,6,,Tethys,2,S,P,lose,-1,
5,6,,Tethys,3,R,R,lose,-1,SS
5,6,,Tethys,4,R,P,win,1,SR
5,6,,Tethys,5,P,S,win,1,RR
5,6,,Tethys,6,P,P,lose,-1,RP
6,6,,Tethys,1,S,S,lose,-1,
6,6,,Tethys,2,S,P,lose,-1,
6,6,,Tethys,3,R,R,lose,-1,SS
6,6,,Tethys,4,R,P,win,1,SR
6,6,,Tethys,5,P,S,win,1,RR
6,6,,Tethys,6,P,P,lose,-1,RP
7,6,,Tethys,1,S,P,lose,-1,
7,6,,Tethys,2,S,S,lose,-1,
7,6,,Tethys,3,R,P,win,1,SS
7,6,,Tethys,4,R,R,lose,-1,SR
7,6,,Tethys,5,P,P,lose,-1,RR
7,6,,Tethys,6,P,S,win,1,RP
8,6,,Tethys,1,S,P,lose,-1,
8,6,,Tethys,2,S,S,lose,-1,
8,6,,Tethys,3,R,R,lose,-1,SS
8,6,,Tethys,4,R,P,win,1,SR
8,6,,Tethys,5,P,S,win,1,RR
8,6,,Tethys,6,P,P,lose,-1,RP
9,6,,Tethys,1,S,P,lose,-1,
9,6,,Tethys,2,P,S,win,1,
9,6,,Tethys,3,P,R,lose,-1,SP
9,6,,Tethys,4,S,P,lose,-1,PP
9,6,,Tethys,5,S,S,lose,-1,PS
9,6,,Tethys,6,R,P,win,1,SS
10,6,,Tethys,1,S,P,lose,-1,
10,6,,Tethys,2,S,S,lose,-1,
10,6,,Tethys,3,R,R,lose,-1,SS
10,6,,Tethys,4,R,P,win,1,SR
10,6,,Tethys,5,P,S,win,1,RR
10,6,,Tethys,6,R,P,win,1,RP
11,6,,Tethys,1,R,P,win,1,
11,6,,Tethys,2,P,R,lose,-1,
11,6,,Tethys,3,P,P,lose,-1,RP
11,6,,Tethys,4,S,S,lose,-1,PP
11,6,,Tethys,5,S,P,lose,-1,PS
11,6,,Tethys,6,R,R,lose,-1,SS
12,6,,Tethys,1,R,P,win,1,
12,6,,Tethys,2,P,R,lose,-1,
12,6,,Tethys,3,P,S,win,1,RP
12,6,,Tethys,4,S,P,lose,-1,PP
12,6,,Tethys,5,S,P,lose,-1,PS
12,6,,Tethys,6,R,R,lose,-1,SS
13,6,Markov,Tethys,1,S,P,lose,-1,
13,6,Markov,Tethys,2,S,S,lose,-1,
13,6,Markov,Tethys,3,R,R,lose,-1,SS
13,6,Markov,Tethys,4,P,P,lose,-1,SR
13,6,Markov,Tethys,5,S,S,lose,-1,RP
13,6,Markov,Tethys,6,P,P,lose,-1,PS
14,6,,Tethys,1,P,S,win,1,
14,6,,Tethys,2,S,P,lose,-1,
14,6,,Tethys,3,S,R,win,1,PS
14,6,,Tethys,4,R,S,lose,-1,SS
14,6,,Tethys,5,R,P,win,1,SR
14,6,,Tethys,6,P,R,lose,-1,RR
15,6,,Tethys,1,P,S,win,1,
15,6,,Tethys,2,S,P,lose,-1,
15,6,,Tethys,3,R,R,lose,-1,PS
15,6,,Tethys,4,R,P,win,1,SR
15,6,,Tethys,5,P,S,win,1,RR
15,6,,Tethys,6,P,P,lose,-1,RP
16,6,Markov,Tethys,1,S,S,lose,-1,
16,6,Markov,Tethys,2,S,P,lose,-1,
16,6,Markov,Tethys,3,R,R,lose,-1,SS
16,6,Markov,Tethys,4,P,P,lose,-1,SR
16,6,Markov,Tethys,5,S,S,lose,-1,RP
16,6,Markov,Tethys,6,S,P,lose,-1,PS
17,6,,Tethys,1,R,S,lose,-1,
17,6,,Tethys,2,R,R,lose,-1,
17,6,,Tethys,3,P,P,lose,-1,RR
17,6,,Tethys,4,P,S,win,1,RP
17,6,,Tethys,5,S,P,lose,-1,PP
17,6,,Tethys,6,S,R,win,1,PS
18,6,,Tethys,1,R,S,lose,-1,
18,6,,Tethys,2,R,P,win,1,
18,6,,Tethys,3,P,R,lose,-1,RR
18,6,,Tethys,4,P,P,lose,-1,RP
18,6,,Tethys,5,S,S,lose,-1,PP
18,6,,Tethys,6,R,P,win,1,PS
19,6,,Tethys,1,R,S,lose,-1,
19,6,,Tethys,2,P,P,lose,-1,
19,6,,Tethys,3,P,R,lose,-1,RP
19,6,,Tethys,4,S,P,lose,-1,PP
19,6,,Tethys,5,S,S,lose,-1,PS
19,6,,Tethys,6,R,P,win,1,SS
20,6,,Tethys,1,S,S,lose,-1,
20,6,,Tethys,2,S,P,lose,-1,
20,6,,Tethys,3,R,R,lose,-1,SS
20,6,,Tethys,4,R,P,win,1,SR
20,6,,Tethys,5,P,S,win,1,RR
20,6,,Tethys,6,P,P,lose,-1,RP
21,6,,Tethys,1,S,S,lose,-1,
21,6,,Tethys,2,S,P,lose,-1,
21,6,,Tethys,3,R,R,lose,-1,SS
21,6,,Tethys,4,R,P,win,1,SR
21,6,,Tethys,5,P,S,win,1,RR
21,6,,Tethys,6,P,P,lose,-1,RP
22,6,,Tethys,1,S,S,lose,-1,
22,6,,Tethys,2,R,P,win,1,
22,6,,Tethys,3,P,R,lose,-1,SR
22,6,,Tethys,4,P,P,lose,-1,RP
22,6,,Tethys,5,S,S,lose,-1,PP
22,6,,Tethys,6,P,P,lose,-1,PS
23,6,,Tethys,1,P,P,lose,-1,
23,6,,Tethys,2,S,R,win,1,
23,6,,Tethys,3,S,S,lose,-1,PS
23,6,,Tethys,4,R,P,win,1,SS
23,6,,Tethys,5,S,R,win,1,SR
23,6,,Tethys,6,S,P,lose,-1,RS
